Bahnhof               | id 
Asbach (Petershausen) Asbach | de:09174:7378
Asbach (Ried Kr AIC) Asbach (Ried) | de:09771:1175
Aschbach (Feldkirchen-Westerham) Haus Hoheneck | de:09187:41690
Aschbach (Feldkirchen-Westerham) Staatsstraße | de:09187:41691
Aschberg (Obb.) Aschberg | de:09177:3732
Aschering Aschering | de:09188:5437
Aschheim Erdinger Straße | de:09184:2126
Aschheim Gartenstraße | de:09184:2105
Aschheim Mitte | de:09184:2125
Aschheim Saturnstraße | de:09184:2117
Aschheim Siedlung Tassilostraße | de:09184:2124
Aschheim Sportpark | de:09184:2131
Aschheim St.-Emmeram-Realschule | de:09184:2630
Aschheim Uhlandstraße | de:09184:2613
Aschheim Weidachstraße | de:09184:2127
Aschheim XXXLutz | de:09184:2129
Ascholding Kirche | de:09173:4892
Assenhausen (Kr Starnberg) Assenhausen | de:09188:5464
Aßling (Obb.) Aßling | de:09175:4202
Aßling (Obb.) Bahnhofstraße Abzw. | de:09175:4209
Aßling (Obb.) Martermühle | de:09175:4133
Aßling (Obb.) Rathaus | de:09175:4132
Aßling (Obb.) Rotter Straße | de:09175:4201
Aßling (Obb.) Steinkirchner Straße | de:09175:4130
Ast (Feldkirchen-Westerham) Ast bei Feldolling | de:09187:42718
Ast (Freising) Ast | de:09178:3182
Attaching Maibaum | de:09178:2954
Attaching Raiffeisenstraße | de:09178:2689
Attaching Sportplatz | de:09178:2690
Attel Attel | de:09187:42047
Attel Reisach | de:09187:66700
Attelthal Attelthal | de:09187:79043
Attenham (Obb.) Attenham | de:09173:4850
Attenkam Attenkam | de:09173:4821
Attenkirchen Attenkrichen, Nord | de:09178:3025
Attenkirchen Kirche | de:09178:3023
Attenkirchen Waldeck | de:09178:3021
Au am Inn Au am Inn, Abzw. Berg | de:09183:6786
Au am Inn Au am Inn | de:09183:6289
Au am Inn Kloster | de:09183:80883
Au (Dietramszell) Au (Dietramszell) | de:09173:9368
Auerbach (Kr Erding) Zaglmühle | de:09177:3388
Auerhäuseln Auerhäuseln | de:09177:3432
Aufham (Kr Pfaffenhofen) Aufham | de:09186:8432
Aufhausen (Erding) Amadeus | de:09177:3275
Aufhausen (Erding) Aufhausen | de:09177:3270
Aufhausen (Erding) Gewerbegebiet Süd | de:09177:3273
Aufhausen (Erding) Justus-von-Liebig-Straße | de:09177:3271
Aufhausen (Kelheim) Aufhausen, Spielplatz | de:09273:948
Aufhausen (Kelheim) Mainburgerstraße | de:09273:841
Aufhausen (Kr Dachau) Aufhausen | de:09174:7236
Aufhausen (Kr Starnberg) Aufhausen | de:09188:5374
Aufhofen (Obb.) Aufhofen | de:09173:4866
Aufkirchen (Kr Erding) Eichenring | de:09177:3750
